state,name,population
AL,Alabama,5024279.00
AK,Alaska,733391.00
AZ,Arizona,7151502.00
AR,Arkansas,3011524.00
CA,California,39538223.00
CO,Colorado,5773714.00
CT,Connecticut,3605944.00
DE,Delaware,989948.00
DC,District of Columbia,689545.00
FL,Florida,21538187.00
GA,Georgia,10711908.00
HI,Hawaii,1455271.00
ID,Idaho,1839106.00
IL,Illinois,12812508.00
IN,Indiana,6785528.00
IA,Iowa,3190369.00
KS,Kansas,2937880.00
KY,Kentucky,4505836.00
LA,Louisiana,4657757.00
ME,Maine,1362359.00
MD,Maryland,6177224.00
MA,Massachusetts,7029917.00
MI,Michigan,10077331.00
MN,Minnesota,5706494.00
MS,Mississippi,2961279.00
MO,Missouri,6154913.00
MT,Montana,1084225.00
NE,Nebraska,1961504.00
NV,Nevada,3104614.00
NH,New Hampshire,1377529.00
NJ,New Jersey,9288994.00
NM,New Mexico,2117522.00
NY,New York,20201249.00
NC,North Carolina,10439388.00
ND,North Dakota,779094.00
OH,Ohio,11799448.00
OK,Oklahoma,3959353.00
OR,Oregon,4237256.00
PA,Pennsylvania,13002700.00
RI,Rhode Island,1097379.00
SC,South Carolina,5118425.00
SD,South Dakota,886667.00
TN,Tennessee,6910840.00
TX,Texas,29145505.00
UT,Utah,3271616.00
VT,Vermont,643077.00
VA,Virginia,8631393.00
WA,Washington,7705281.00
WV,West Virginia,1793716.00
WI,Wisconsin,5893718.00
WY,Wyoming,576851.00
PR,Puerto Rico,3285874.00
